

Doanh thu theo sản phẩm
Tên sản phẩm,Doanh thu (VND)
Thức ăn Mèo Khô 4,576000.00
Thức ăn Mèo Wet 2,526400.00
Thức ăn ướt cho mèo,165000.00
Thức ăn Mèo Wet 5,110000.00
Thức ăn Mèo Wet 1,85500.00


Doanh thu theo ngày
Ngày,Doanh thu (VND)
2025-01-17T17:00:00.000Z,903100.00
2025-01-19T17:00:00.000Z,559800.00


Doanh thu theo tháng
Tháng,Doanh thu (VND)
1,1462900.00


Doanh thu theo năm
Năm,Doanh thu (VND)
2025,1462900.00


Doanh thu theo quý
Quý,Doanh thu (VND)
1,1462900.00


Trạng thái tồn kho
Tên sản phẩm,Số lượng tồn kho
Thức ăn Mèo Khô 4,4
Thức ăn Mèo Wet 9,5
Thức ăn Mèo Wet 3,8
Thức ăn Mèo Wet 7,9
Thức ăn Mèo Khô 5,10
Thức ăn Mèo Khô 10,10
Thức ăn Mèo Khô 6,13
Thức ăn Mèo Wet 8,13
Thức ăn ướt cho mèo,17
Thức ăn Mèo Wet 5,17
Thức ăn Mèo Wet 4,18
Thức ăn Mèo Khô 7,18
Thức ăn khô cho mèo,24
Thức ăn Mèo Wet 10,25
Orijen Six Fish Dry Cat Food,25
Thức ăn Mèo Wet 2,26
Orijen Cat & Kitten,30
Orijen Original Dry Cat Food,30
Natural Balance L.I.D. Limited Ingredient Diets,35
Natural Balance Fat Cats,35
Acana Singles + Wholesome Grains,35
Iams ProActive Health,40
Science Diet Adult Optimal Care,40
Royal Canin Instinctive,40
Thức ăn Mèo Wet 1,43
Thức ăn Mèo Khô 3,45
Acana Indoor Entrée,45
Acana Wild Prairie,45
Wellness CORE Grain-Free,45
Thức ăn Mèo Khô 8,50
Royal Canin Feline Health Nutrition,50
Wellness CORE Grain-Free,50
Merrick Purrfect Bistro,50
Royal Canin Mother & Babycat,50
Wellness CORE RawRev,50
Merrick Grain-Free Healthy Weight,50
Hill's Science Diet Adult Sensitive Stomach & Skin,50
Natural Balance L.I.D. Limited Ingredient Diets,50
Iams ProActive Health Healthy Adult,55
Thức ăn Mèo Wet 6,58
Hill's Science Diet Adult,60
Blue Buffalo Wilderness,60
Iams ProActive Health Indoor Weight & Hairball Care,60
Blue Buffalo Natural Veterinary Diet,60
Purina ONE SmartBlend Healthy Metabolism,60
Thức ăn Mèo Khô 9,70
Purina Pro Plan Savor,70
Purina Pro Plan Focus Urinary Tract Health,70
Whiskas Temptations Mix-ups,80
Snack tôm cho mèo,80
Snack thịt bò cho mèo,90
Snack thịt cừu cho mèo,95
Friskies Mix,100
Snack cá ngừ cho mèo,100
Snack cá mòi cho mèo,100
Thịt gà nướng cho mèo,110
Snack cá hồi cho mèo,120
Bánh quy cá ngừ cho mèo,130
Snack gà xé cho mèo,140
Bánh quy gà cho mèo,150


Sản phẩm bán chạy nhất
Tên sản phẩm,Số lượng bán
Thức ăn Mèo Khô 4,4
